task,threshold,feature,delta
tool_FlexFL,1,repair_difficulty,-0.3429
tool_FlexFL,1,txt_description_line_count,0.3046
tool_FlexFL,1,actionability,0.3107
tool_FlexFL,1,reasoning_composite,0.2613
tool_FlexFL,1,clarity,0.2732
tool_FlexFL,1,ari,-0.2746
tool_FlexFL,1,description_length,0.2304
tool_FlexFL,1,technical_completeness,0.2658
tool_FlexFL,1,coleman_liau,-0.2657
tool_FlexFL,1,txt_title_digit_density,0.2369
tool_FlexFL,1,expected_observed_alignment,0.274
tool_FlexFL,1,flesch,0.2445
tool_FlexFL,1,txt_title_avg_sentence_len,0.2633
tool_FlexFL,1,ambiguity_type_count,-0.2805
tool_FlexFL,1,kincaid,-0.216
tool_FlexFL,1,complexity_reasoning,0.1215
tool_FlexFL,1,complexity_description,0.1678
tool_FlexFL,1,complexity_readability,-0.308
tool_FlexFL,1,reasoning_clarity,-0.2114
tool_FlexFL,1,structure_actionability,-0.1651
tool_FlexFL,1,readability_combo,-0.2603
tool_FlexFL,1,ambiguity_reasoning,0.1974
tool_BRaIn,1,actionability,0.3434
tool_BRaIn,1,txt_description_line_count,0.3317
tool_BRaIn,1,repair_difficulty,-0.369
tool_BRaIn,1,technical_completeness,0.2989
tool_BRaIn,1,clarity,0.325
tool_BRaIn,1,txt_title_avg_sentence_len,0.3404
tool_BRaIn,1,txt_title_digit_density,0.3054
tool_BRaIn,1,expected_observed_alignment,0.289
tool_BRaIn,1,reasoning_composite,0.3569
tool_BRaIn,1,description_length,0.2476
tool_BRaIn,1,ambiguity_type_count,-0.2637
tool_BRaIn,1,ari,-0.2802
tool_BRaIn,1,complexity_reasoning,0.0631
tool_BRaIn,1,complexity_description,0.0493
tool_BRaIn,1,complexity_readability,-0.328
tool_BRaIn,1,reasoning_clarity,-0.0569
tool_BRaIn,1,structure_actionability,-0.0447
tool_BRaIn,1,readability_combo,-0.278
tool_BRaIn,1,ambiguity_reasoning,0.0442
tool_boostnsift,1,expected_observed_alignment,0.2756
tool_boostnsift,1,ari,-0.441
tool_boostnsift,1,coleman_liau,-0.445
tool_boostnsift,1,flesch,0.4231
tool_boostnsift,1,technical_completeness,0.242
tool_boostnsift,1,description_length,0.2226
tool_boostnsift,1,reasoning_composite,0.3617
tool_boostnsift,1,ambiguity_type_count,-0.2772
tool_boostnsift,1,txt_description_line_count,0.395
tool_boostnsift,1,txt_title_avg_sentence_len,0.3846
tool_boostnsift,1,complexity_reasoning,0.0571
tool_boostnsift,1,complexity_description,0.1
tool_boostnsift,1,complexity_readability,-0.3988
tool_boostnsift,1,reasoning_clarity,-0.152
tool_boostnsift,1,structure_actionability,-0.0838
tool_boostnsift,1,readability_combo,-0.4394
tool_boostnsift,1,ambiguity_reasoning,0.1504
tool_buglocator,1,txt_description_line_count,0.344
